iter	Passed	Remaining
868	7822	1179
869	7835	1170
870	7846	1162
871	7857	1153
872	7866	1144
873	7875	1135
874	7879	1125
875	7882	1115
876	7887	1106
877	7896	1097
878	7899	1087
879	7903	1077
880	7910	1068
881	7913	1058
882	7915	1048
883	7918	1039
884	7923	1029
885	7925	1019
886	7930	1010
887	7939	1001
888	7944	991
889	7955	983
890	7957	973
891	7962	964
892	7968	954
893	7971	945
894	7973	935
895	7980	926
896	7983	916
897	7993	907
898	8006	899
899	8019	891
900	8023	881
901	8027	872
902	8034	863
903	8044	854
904	8046	844
905	8057	836
906	8066	827
907	8069	817
908	8071	808
909	8076	798
910	8078	789
911	8085	780
912	8094	771
913	8099	762
914	8104	752
915	8107	743
916	8115	734
917	8125	725
918	8127	716
919	8131	707
920	8143	698
921	8145	689
922	8153	680
923	8158	671
924	8171	662
925	8174	653
926	8176	643
927	8178	634
928	8181	625
929	8184	616
930	8190	607
931	8193	597
932	8195	588
933	8197	579
934	8201	570
935	8208	561
936	8210	552
937	8228	543
938	8237	535
939	8241	526
940	8244	516
941	8246	507
942	8253	498
943	8266	490
944	8274	481
945	8283	472
946	8294	464
947	8296	455
948	8310	446
949	8320	437
950	8329	429
951	8333	420
952	8342	411
953	8353	402
954	8362	394
955	8375	385
956	8378	376
957	8383	367
958	8390	358
959	8396	349
960	8399	340
961	8403	331
962	8410	323
963	8415	314
964	8420	305
965	8432	296
966	8449	288
967	8455	279
968	8457	270
969	8471	261
970	8473	253
971	8484	244
972	8487	235
973	8489	226
974	8496	217
975	8501	209
976	8508	200
977	8510	191
978	8513	182
979	8520	173
980	8531	165
981	8534	156
982	8545	147
983	8554	139
984	8561	130
985	8563	121
986	8570	112
987	8573	104
988	8586	95
989	8590	86
990	8599	78
991	8602	69
992	8610	60
993	8613	51
994	8615	43
995	8625	34
996	8627	25
997	8630	17
998	8633	8
999	8637	0
